7;0;0;19;
0;26;0;0;
2;13;7;4;
14;5;4;3;
5;21;0;0;
13;9;1;3;
13;4;5;4;
0;0;23;3;
4;17;4;1;
17;0;2;7;
0;0;13;13;
14;0;7;5;
1;4;0;21;
15;4;3;4;
1;1;17;7;
13;8;5;0;
0;0;15;11;
3;19;0;4;
4;3;17;2;
1;19;6;0;
2;0;3;21;
1;8;13;4;
15;0;4;7;
14;0;0;12;
0;26;0;0;
2;8;13;3;
20;5;1;0;
4;0;14;8;
3;5;5;13;
20;3;3;0;
4;0;2;20;
10;2;1;13;
3;3;20;0;
7;0;15;4;
13;0;5;8;
0;13;9;4;
10;13;1;2;
22;0;3;1;
0;18;6;2;
16;5;2;3;
4;0;4;18;
7;0;19;0;
0;24;2;0;
0;13;10;3;
6;20;0;0;
9;3;0;14;
6;1;4;15;
1;19;1;5;
4;0;2;20;
15;2;0;9;
2;6;0;18;
21;0;4;1;
3;15;3;5;
16;1;0;9;
6;13;7;0;
5;20;1;0;
5;1;20;0;
18;0;4;4;
5;17;4;0;
19;7;0;0;
0;13;4;9;
8;15;2;1;
0;0;17;9;
6;14;0;6;
4;1;18;3;
19;0;5;2;
10;3;0;13;
2;5;5;14;
4;5;3;14;
19;5;0;2;
0;11;0;15;
2;20;2;2;
5;18;1;2;
6;4;13;3;
14;0;7;5;
4;17;0;5;
0;6;0;20;
2;0;10;14;
0;0;19;7;
3;19;3;1;
1;0;10;15;
3;5;0;18;
3;0;23;0;
1;17;0;8;
0;17;5;4;
13;4;1;8;
4;14;4;4;
0;22;4;0;
14;4;4;4;
7;2;3;14;
14;5;7;0;
6;2;5;13;
1;0;10;15;
14;0;9;3;
7;6;0;13;
0;4;21;1;
6;5;0;15;
1;0;0;25;
4;0;5;17;
5;0;21;0;
1;3;0;22;
3;3;13;7;
0;8;18;0;
22;0;0;4;
15;4;2;5;
19;0;0;7;
4;19;1;2;
3;6;14;3;
19;0;3;4;
5;14;4;3;
2;4;4;16;
5;0;5;16;
0;21;2;3;
21;0;1;4;
5;19;0;2;
14;0;12;0;
0;1;20;5;
1;0;8;17;
19;0;2;5;
5;0;17;4;
18;4;3;1;
0;13;4;9;
4;6;16;0;
0;8;14;4;
3;4;4;15;
14;0;10;2;
13;7;5;1;
1;20;4;1;
1;25;0;0;
18;4;4;0;
15;6;2;3;
4;13;3;6;
22;0;4;0;
4;5;0;17;
3;0;4;19;
14;8;0;4;
4;21;0;1;
0;3;16;7;
4;1;1;20;
3;20;3;0;
4;0;19;3;
1;5;5;15;
0;25;0;1;
0;19;7;0;
13;4;7;2;
4;1;16;5;
7;2;3;14;
3;0;17;6;
0;7;0;19;
15;0;5;6;
2;4;3;17;
2;9;15;0;
9;0;17;0;
0;4;18;4;
0;2;3;21;
1;19;3;3;
2;19;1;4;
0;9;0;17;
1;0;1;24;
5;4;0;17;
0;0;0;26;
2;21;3;0;
18;7;1;0;
3;0;23;0;
16;4;4;2;
6;13;6;1;
4;14;4;4;
3;5;1;17;
0;14;4;8;
0;0;16;10;
7;1;15;3;
0;10;0;16;
13;0;10;3;
20;3;3;0;
15;5;0;6;
4;1;6;15;
0;8;1;17;
0;1;13;12;
1;8;17;0;
1;1;5;19;
24;1;1;0;
0;10;14;2;
0;12;13;1;
6;13;6;1;
0;0;0;26;
16;0;2;8;
17;0;1;8;
5;6;15;0;
15;4;6;1;
5;2;6;13;
3;17;4;2;
22;0;0;4;
3;2;17;4;
5;2;19;0;
0;4;18;4;
12;1;0;13;
14;8;4;0;
4;0;18;4;
14;3;1;8;
18;4;0;4;
1;18;0;7;
15;6;5;0;
1;3;14;8;
13;4;4;5;
3;20;2;1;
5;0;2;19;
6;0;3;17;
0;6;14;6;
8;0;13;5;
8;0;13;5;
0;4;0;22;
3;1;13;9;
0;0;21;5;
13;0;2;11;
4;14;0;8;
18;5;1;2;
0;20;1;5;
19;1;6;0;
12;0;0;14;
5;15;6;0;
4;3;0;19;
5;21;0;0;
15;3;8;0;
4;13;8;1;
1;16;0;9;
0;4;18;4;
1;4;4;17;
20;0;1;5;
4;13;0;9;
15;7;4;0;
15;0;1;10;
3;0;6;17;
0;15;0;11;
0;6;2;18;
0;22;4;0;
18;0;8;0;
1;0;8;17;
14;1;8;3;
7;0;1;18;
13;13;0;0;
19;0;7;0;
17;1;8;0;
1;14;11;0;
23;3;0;0;
13;4;1;8;
5;2;19;0;
1;18;2;5;
16;0;1;9;
0;19;0;7;
4;3;19;0;
10;0;13;3;
1;24;0;1;
4;7;0;15;
18;8;0;0;
13;1;1;11;
11;14;1;0;
19;4;1;2;
5;1;20;0;
3;8;13;2;
0;10;16;0;
0;0;12;14;
8;0;17;1;
10;0;16;0;
2;13;3;8;
2;5;14;5;
6;3;14;3;
4;18;4;0;
0;0;26;0;
21;2;0;3;
4;0;19;3;
8;4;14;0;
5;1;1;19;
19;1;3;3;
4;22;0;0;
0;24;0;2;
5;0;13;8;
5;7;1;13;
0;0;19;7;
0;4;14;8;
2;18;0;6;
4;2;5;15;
0;10;2;14;
13;6;3;4;
13;7;5;1;
0;18;6;2;
17;0;4;5;
15;6;1;4;
7;0;4;15;
4;13;2;7;
5;4;3;14;
21;0;5;0;
8;0;5;13;
4;17;4;1;
4;17;4;1;
13;5;4;4;
19;4;0;3;
13;6;7;0;
0;4;22;0;
4;15;4;3;
1;13;4;8;
2;0;21;3;
19;0;7;0;
5;8;13;0;
13;4;3;6;
1;0;20;5;
6;18;0;2;
2;13;7;4;
3;17;1;5;
1;3;4;18;
1;4;13;8;
4;0;1;21;
1;2;15;8;
15;2;4;5;
18;0;5;3;
0;25;0;1;
5;1;14;6;
7;4;13;2;
20;0;6;0;
20;4;0;2;
17;4;0;5;
14;0;12;0;
1;0;3;22;
0;0;7;19;
14;4;7;1;
15;4;6;1;
5;3;13;5;
8;0;13;5;
1;21;0;4;
1;9;3;13;
8;2;16;0;
2;17;7;0;
0;18;4;4;
16;2;4;4;
13;9;4;0;
3;21;0;2;
20;2;4;0;
13;8;1;4;
4;6;16;0;
5;0;16;5;
6;16;0;4;
0;11;14;1;
14;0;4;8;
0;4;9;13;
4;2;14;6;
7;13;5;1;
