2;7;0;17;
12;0;14;0;
1;8;2;15;
0;18;3;5;
0;9;0;17;
19;0;0;7;
1;4;8;13;
0;0;4;22;
0;0;0;26;
16;0;6;4;
4;1;20;1;
0;5;13;8;
4;9;13;0;
0;21;5;0;
0;4;7;15;
11;2;0;13;
0;0;13;13;
9;4;13;0;
6;2;17;1;
0;0;1;25;
0;20;0;6;
3;5;4;14;
5;8;0;13;
7;1;4;14;
8;0;1;17;
15;4;3;4;
4;16;6;0;
0;16;0;10;
4;1;6;15;
2;4;20;0;
5;3;4;14;
1;17;7;1;
17;4;0;5;
18;0;0;8;
5;4;17;0;
0;8;13;5;
16;7;3;0;
1;21;0;4;
16;6;4;0;
0;4;14;8;
5;14;0;7;
7;0;2;17;
16;6;3;1;
5;0;0;21;
8;1;0;17;
0;0;18;8;
10;3;13;0;
1;7;13;5;
20;0;2;4;
2;6;17;1;
8;0;18;0;
0;19;4;3;
1;2;0;23;
18;4;0;4;
3;6;3;14;
9;0;17;0;
15;9;2;0;
1;0;0;25;
1;19;1;5;
14;8;2;2;
6;0;2;18;
22;0;4;0;
7;5;0;14;
2;5;18;1;
3;14;5;4;
4;16;2;4;
5;4;0;17;
3;4;16;3;
0;5;16;5;
13;0;9;4;
5;13;5;3;
0;0;8;18;
1;0;3;22;
9;3;0;14;
4;17;5;0;
0;13;0;13;
20;3;0;3;
4;13;1;8;
16;6;1;3;
8;14;0;4;
3;6;13;4;
4;1;2;19;
5;18;0;3;
0;5;16;5;
1;4;4;17;
0;21;5;0;
0;18;0;8;
10;0;13;3;
2;11;13;0;
9;13;4;0;
20;2;2;2;
0;0;0;26;
5;21;0;0;
2;17;1;6;
5;1;0;20;
3;17;0;6;
0;20;0;6;
25;1;0;0;
0;20;4;2;
16;5;3;2;
19;0;4;3;
2;4;4;16;
2;20;4;0;
1;4;1;20;
8;13;5;0;
5;3;4;14;
7;15;4;0;
17;4;5;0;
0;0;5;21;
1;0;7;18;
0;18;2;6;
1;20;0;5;
2;7;17;0;
20;0;1;5;
3;5;14;4;
0;0;8;18;
24;1;1;0;
1;0;0;25;
1;0;4;21;
17;3;0;6;
14;1;7;4;
4;1;14;7;
4;4;18;0;
0;4;21;1;
16;4;4;2;
2;1;0;23;
6;5;13;2;
4;1;16;5;
0;13;13;0;
1;11;14;0;
4;0;0;22;
1;4;4;17;
0;18;4;4;
22;3;0;1;
22;0;3;1;
0;3;5;18;
7;0;4;15;
6;15;4;1;
6;0;0;20;
2;20;4;0;
6;17;1;2;
0;1;13;12;
2;4;15;5;
18;0;7;1;
5;7;0;14;
1;21;1;3;
5;4;4;13;
4;0;19;3;
1;0;12;13;
4;6;0;16;
18;2;4;2;
15;10;1;0;
9;15;2;0;
14;8;4;0;
19;6;1;0;
18;0;4;4;
15;7;4;0;
10;0;3;13;
21;1;0;4;
3;4;19;0;
16;0;4;6;
8;0;18;0;
0;13;0;13;
1;0;21;4;
0;4;14;8;
2;22;2;0;
4;14;0;8;
3;3;14;6;
0;4;17;5;
6;16;0;4;
2;0;0;24;
13;4;0;9;
0;0;17;9;
7;0;15;4;
16;1;4;5;
0;22;4;0;
14;11;1;0;
13;0;2;11;
20;1;0;5;
16;6;0;4;
5;13;5;3;
1;17;4;4;
1;5;3;17;
19;0;0;7;
20;0;6;0;
0;13;9;4;
0;8;5;13;
13;4;4;5;
17;5;0;4;
7;3;13;3;
4;1;13;8;
15;5;6;0;
0;1;8;17;
4;1;15;6;
0;22;0;4;
14;0;0;12;
2;4;17;3;
19;2;1;4;
18;2;4;2;
4;0;20;2;
