0;5;21;0;
1;18;7;0;
4;16;4;2;
0;23;0;3;
2;3;3;18;
0;25;1;0;
0;13;0;13;
0;1;5;20;
1;5;4;16;
0;4;6;16;
4;0;6;16;
0;8;15;3;
5;13;4;4;
0;3;23;0;
0;4;14;8;
18;0;1;7;
0;5;4;17;
3;13;10;0;
21;0;4;1;
1;4;4;17;
17;0;4;5;
14;8;4;0;
2;4;5;15;
0;21;4;1;
7;5;13;1;
5;15;0;6;
21;4;0;1;
0;4;9;13;
19;2;4;1;
1;1;3;21;
0;0;19;7;
14;7;2;3;
0;3;7;16;
2;0;1;23;
0;22;0;4;
18;4;3;1;
13;12;1;0;
1;20;0;5;
15;0;7;4;
7;4;1;14;
0;7;0;19;
21;3;0;2;
0;10;14;2;
1;18;2;5;
19;3;0;4;
0;0;15;11;
17;5;0;4;
4;16;1;5;
7;6;0;13;
18;2;1;5;
15;4;0;7;
4;5;14;3;
0;15;3;8;
3;1;20;2;
3;10;0;13;
5;13;1;7;
18;1;7;0;
4;4;16;2;
13;4;9;0;
8;18;0;0;
0;3;23;0;
13;1;1;11;
5;17;4;0;
4;0;0;22;
0;24;2;0;
0;5;18;3;
8;17;0;1;
0;0;26;0;
7;1;18;0;
0;14;4;8;
4;22;0;0;
5;13;0;8;
1;6;19;0;
5;3;0;18;
0;17;0;9;
3;0;19;4;
3;3;3;17;
18;5;1;2;
5;2;6;13;
2;11;13;0;
13;9;3;1;
4;4;17;1;
0;18;4;4;
0;14;11;1;
20;2;0;4;
0;8;14;4;
0;1;21;4;
0;13;8;5;
3;18;4;1;
0;21;0;5;
0;0;9;17;
4;0;15;7;
4;1;17;4;
16;6;0;4;
2;1;6;17;
7;15;0;4;
14;6;6;0;
4;0;15;7;
13;0;5;8;
13;3;0;10;
2;0;20;4;
5;17;0;4;
3;0;1;22;
0;21;1;4;
14;3;0;9;
1;1;20;4;
4;7;14;1;
2;10;14;0;
1;19;1;5;
4;18;0;4;
0;1;13;12;
0;17;2;7;
0;5;3;18;
2;5;19;0;
4;18;0;4;
0;15;10;1;
1;22;3;0;
4;13;0;9;
5;6;0;15;
3;0;15;8;
6;0;0;20;
8;18;0;0;
0;0;23;3;
0;6;13;7;
4;3;0;19;
17;2;7;0;
4;1;16;5;
14;5;6;1;
0;5;4;17;
2;6;17;1;
17;9;0;0;
4;18;0;4;
17;3;1;5;
14;3;4;5;
0;0;9;17;
20;0;1;5;
8;4;0;14;
1;0;3;22;
4;3;15;4;
4;17;2;3;
21;0;4;1;
1;6;4;15;
13;0;6;7;
15;1;2;8;
11;0;0;15;
8;14;1;3;
4;1;17;4;
4;1;0;21;
4;3;15;4;
0;17;2;7;
5;4;17;0;
6;17;3;0;
0;2;21;3;
