6;6;1;13;
3;8;15;0;
0;8;3;15;
13;0;0;13;
13;12;1;0;
5;0;21;0;
0;23;2;1;
2;7;0;17;
13;2;2;9;
2;18;4;2;
20;2;4;0;
2;16;0;8;
5;0;4;17;
0;13;6;7;
8;17;1;0;
14;1;7;4;
0;8;4;14;
0;4;4;18;
1;5;20;0;
0;2;4;20;
1;0;8;17;
3;4;6;13;
15;2;5;4;
8;4;0;14;
1;17;0;8;
0;1;7;18;
0;3;16;7;
3;22;0;1;
5;15;3;3;
3;9;0;14;
0;0;19;7;
1;14;6;5;
0;13;0;13;
0;19;2;5;
11;15;0;0;
1;13;8;4;
1;0;1;24;
0;0;13;13;
0;17;8;1;
4;0;20;2;
15;9;1;1;
4;14;3;5;
19;5;2;0;
4;4;0;18;
7;0;4;15;
1;7;0;18;
0;13;3;10;
0;22;4;0;
1;7;13;5;
0;21;0;5;
1;22;0;3;
2;22;0;2;
2;0;4;20;
0;3;9;14;
1;16;9;0;
0;3;16;7;
13;9;0;4;
5;4;4;13;
16;4;0;6;
0;7;3;16;
0;0;22;4;
13;6;1;6;
22;4;0;0;
2;4;16;4;
16;4;5;1;
3;8;0;15;
6;14;6;0;
1;14;9;2;
0;16;1;9;
1;0;4;21;
19;0;3;4;
18;0;2;6;
4;1;1;20;
6;0;20;0;
4;18;4;0;
3;16;4;3;
15;5;0;6;
0;8;18;0;
5;0;0;21;
0;6;19;1;
0;1;4;21;
4;3;19;0;
4;3;15;4;
2;23;0;1;
0;4;3;19;
5;1;3;17;
3;5;4;14;
0;17;4;5;
16;6;3;1;
9;16;0;1;
2;0;14;10;
0;16;0;10;
17;5;4;0;
5;13;4;4;
8;13;5;0;
2;20;4;0;
3;3;20;0;
23;0;1;2;
5;4;13;4;
1;2;10;13;
14;0;8;4;
15;7;1;3;
7;0;1;18;
1;0;8;17;
3;0;2;21;
16;1;1;8;
8;0;4;14;
5;5;1;15;
0;6;13;7;
1;4;8;13;
6;16;4;0;
0;0;1;25;
22;0;4;0;
0;17;5;4;
4;5;0;17;
19;0;7;0;
0;20;0;6;
1;1;4;20;
8;3;15;0;
18;1;7;0;
14;0;4;8;
1;12;13;0;
0;5;4;17;
5;14;7;0;
0;4;2;20;
21;1;4;0;
