7;2;17;0;
1;17;8;0;
3;1;14;8;
13;8;5;0;
0;16;4;6;
2;18;5;1;
0;19;6;1;
0;8;14;4;
19;1;2;4;
0;0;5;21;
0;5;13;8;
0;4;22;0;
16;5;0;5;
14;8;0;4;
10;14;1;1;
4;0;22;0;
0;3;3;20;
13;0;5;8;
17;5;0;4;
14;6;6;0;
14;3;5;4;
13;7;1;5;
1;25;0;0;
0;14;7;5;
15;11;0;0;
4;1;17;4;
9;0;16;1;
10;1;0;15;
22;0;4;0;
1;15;4;6;
0;17;7;2;
1;4;17;4;
5;13;4;4;
0;22;0;4;
0;12;0;14;
3;4;19;0;
17;4;0;5;
7;4;2;13;
8;1;4;13;
16;6;3;1;
17;3;2;4;
13;2;11;0;
19;0;6;1;
0;7;14;5;
0;14;12;0;
18;3;4;1;
1;25;0;0;
17;6;0;3;
4;2;7;13;
5;4;13;4;
0;13;0;13;
0;14;4;8;
13;0;5;8;
13;9;4;0;
0;19;0;7;
5;4;17;0;
0;23;0;3;
4;1;4;17;
23;1;0;2;
0;5;13;8;
19;0;6;1;
4;2;20;0;
3;18;5;0;
4;3;0;19;
18;3;0;5;
0;6;19;1;
6;4;14;2;
1;0;8;17;
0;18;6;2;
17;3;0;6;
4;3;6;13;
17;3;4;2;
0;26;0;0;
19;6;1;0;
0;9;4;13;
1;0;17;8;
4;18;0;4;
0;0;17;9;
0;4;5;17;
0;7;19;0;
21;1;0;4;
1;0;10;15;
19;3;1;3;
0;0;17;9;
1;13;12;0;
0;2;10;14;
2;3;17;4;
15;4;0;7;
14;0;12;0;
5;14;3;4;
1;17;2;6;
0;1;25;0;
17;7;1;1;
0;20;0;6;
8;1;0;17;
8;0;14;4;
5;15;0;6;
6;1;0;19;
0;15;7;4;
0;4;0;22;
4;1;13;8;
22;0;4;0;
13;3;1;9;
1;1;4;20;
18;1;4;3;
5;13;4;4;
8;17;1;0;
0;18;4;4;
7;4;1;14;
3;13;6;4;
1;1;11;13;
0;5;6;15;
2;13;4;7;
4;2;1;19;
4;1;0;21;
13;4;4;5;
8;3;0;15;
8;18;0;0;
0;6;2;18;
0;6;4;16;
1;4;2;19;
18;1;0;7;
0;0;1;25;
18;0;0;8;
0;26;0;0;
14;10;0;2;
0;1;9;16;
24;2;0;0;
0;22;4;0;
1;3;17;5;
0;19;2;5;
19;0;2;5;
0;7;0;19;
0;1;23;2;
4;3;15;4;
8;2;0;16;
19;0;0;7;
20;4;2;0;
0;4;2;20;
1;17;8;0;
13;9;3;1;
3;4;1;18;
22;0;0;4;
17;0;5;4;
5;0;8;13;
1;0;1;24;
6;0;13;7;
4;18;3;1;
14;1;7;4;
17;8;0;1;
5;4;13;4;
1;5;0;20;
0;26;0;0;
0;6;5;15;
8;0;1;17;
