5;1;4;16;
0;3;4;19;
0;1;22;3;
3;7;16;0;
0;8;18;0;
4;0;4;18;
4;0;21;1;
8;2;1;15;
13;2;2;9;
4;0;16;6;
13;7;4;2;
0;6;16;4;
5;5;3;13;
14;0;4;8;
0;22;3;1;
4;1;3;18;
17;8;1;0;
13;2;10;1;
4;0;17;5;
3;5;5;13;
15;1;4;6;
13;5;0;8;
2;0;3;21;
15;4;5;2;
17;0;8;1;
8;4;1;13;
1;4;6;15;
13;5;0;8;
14;4;0;8;
0;18;4;4;
4;1;20;1;
3;19;0;4;
0;0;11;15;
0;2;20;4;
1;10;0;15;
16;5;4;1;
9;17;0;0;
13;9;4;0;
13;2;7;4;
22;4;0;0;
7;5;13;1;
5;0;21;0;
0;0;22;4;
13;9;2;2;
0;10;16;0;
3;14;7;2;
2;21;3;0;
0;1;6;19;
0;14;11;1;
1;0;0;25;
5;13;7;1;
1;5;0;20;
8;0;18;0;
3;4;0;19;
9;4;13;0;
2;6;18;0;
13;3;0;10;
0;21;0;5;
4;21;0;1;
20;3;0;3;
18;0;0;8;
21;1;4;0;
3;6;0;17;
20;4;0;2;
1;0;13;12;
7;3;16;0;
16;4;5;1;
2;18;0;6;
7;6;13;0;
4;14;4;4;
0;14;6;6;
17;5;0;4;
7;1;5;13;
1;16;0;9;
15;0;11;0;
15;7;0;4;
17;6;0;3;
19;4;3;0;
4;5;17;0;
1;0;23;2;
5;4;3;14;
0;10;14;2;
5;17;1;3;
17;2;4;3;
0;20;4;2;
3;3;15;5;
0;0;1;25;
6;13;3;4;
5;0;3;18;
5;0;8;13;
4;3;0;19;
3;2;0;21;
17;4;5;0;
4;1;17;4;
17;0;4;5;
17;3;6;0;
18;3;0;5;
21;5;0;0;
0;0;20;6;
22;0;4;0;
6;0;19;1;
0;4;17;5;
16;5;5;0;
17;0;5;4;
3;4;0;19;
1;0;20;5;
4;6;0;16;
1;5;17;3;
0;5;17;4;
14;7;5;0;
0;19;0;7;
13;4;2;7;
5;0;14;7;
17;4;5;0;
0;13;8;5;
17;4;1;4;
13;7;4;2;
4;13;9;0;
17;4;4;1;
6;13;4;3;
1;3;8;14;
0;3;0;23;
4;0;1;21;
3;9;1;13;
5;8;13;0;
0;5;13;8;
18;4;0;4;
6;20;0;0;
0;22;4;0;
3;17;4;2;
0;4;21;1;
17;3;5;1;
17;9;0;0;
6;0;7;13;
6;5;1;14;
23;0;3;0;
5;21;0;0;
11;0;0;15;
4;4;0;18;
14;8;4;0;
23;3;0;0;
1;16;0;9;
5;3;0;18;
4;17;0;5;
0;6;4;16;
1;21;0;4;
13;4;1;8;
19;0;7;0;
2;21;3;0;
0;20;5;1;
4;5;13;4;
0;6;0;20;
2;0;11;13;
25;0;0;1;
0;3;19;4;
0;4;22;0;
2;3;5;16;
1;18;3;4;
3;1;4;18;
17;9;0;0;
0;6;16;4;
1;3;20;2;
2;18;0;6;
16;10;0;0;
4;8;0;14;
14;7;5;0;
0;0;26;0;
0;6;14;6;
19;3;3;1;
4;17;4;1;
4;18;0;4;
7;0;6;13;
1;4;8;13;
0;4;1;21;
12;0;0;14;
4;5;0;17;
26;0;0;0;
6;13;0;7;
0;0;6;20;
5;5;16;0;
4;3;18;1;
7;5;13;1;
0;9;4;13;
15;1;6;4;
13;4;7;2;
13;3;10;0;
0;4;1;21;
15;7;4;0;
20;0;0;6;
18;4;4;0;
1;16;5;4;
4;3;15;4;
0;17;6;3;
8;5;0;13;
1;5;4;16;
17;0;5;4;
3;4;4;15;
4;4;1;17;
1;1;20;4;
17;0;2;7;
1;18;2;5;
0;3;4;19;
0;0;2;24;
4;2;17;3;
4;20;2;0;
8;17;0;1;
3;0;4;19;
0;1;22;3;
8;13;5;0;
4;6;0;16;
4;0;14;8;
10;1;0;15;
20;0;2;4;
4;5;17;0;
9;4;0;13;
17;1;6;2;
4;15;6;1;
18;0;4;4;
4;8;1;13;
3;1;21;1;
0;8;14;4;
14;5;0;7;
14;0;0;12;
5;17;2;2;
0;4;5;17;
22;4;0;0;
0;0;18;8;
0;14;8;4;
17;0;4;5;
1;4;4;17;
2;7;1;16;
13;0;10;3;
1;4;17;4;
0;2;20;4;
13;4;0;9;
16;9;1;0;
4;0;4;18;
17;4;1;4;
17;4;1;4;
2;14;4;6;
6;0;16;4;
15;10;0;1;
13;7;1;5;
8;0;17;1;
14;3;5;4;
4;0;8;14;
5;4;13;4;
0;0;5;21;
0;4;0;22;
0;14;7;5;
0;0;3;23;
18;4;4;0;
5;13;7;1;
16;3;4;3;
5;17;4;0;
2;3;13;8;
20;5;1;0;
13;1;7;5;
18;4;0;4;
5;2;1;18;
1;13;8;4;
0;0;20;6;
1;4;4;17;
15;9;0;2;
14;3;0;9;
0;14;6;6;
4;0;17;5;
0;21;5;0;
3;3;3;17;
5;6;13;2;
0;22;4;0;
19;0;7;0;
18;2;0;6;
0;2;18;6;
9;0;4;13;
22;1;0;3;
6;4;15;1;
0;4;0;22;
2;3;13;8;
0;0;22;4;
0;17;1;8;
1;18;2;5;
6;1;2;17;
16;4;2;4;
21;1;0;4;
1;4;1;20;
0;0;22;4;
3;13;7;3;
7;4;15;0;
8;0;13;5;
4;0;0;22;
5;20;1;0;
4;0;16;6;
14;5;4;3;
3;10;13;0;
1;3;20;2;
0;0;26;0;
0;1;5;20;
6;14;0;6;
2;3;16;5;
1;7;5;13;
2;13;1;10;
5;17;0;4;
4;0;16;6;
13;5;5;3;
26;0;0;0;
0;18;4;4;
9;17;0;0;
23;0;3;0;
3;19;0;4;
0;26;0;0;
4;18;0;4;
0;18;4;4;
4;8;13;1;
0;17;3;6;
26;0;0;0;
5;4;13;4;
4;22;0;0;
2;0;15;9;
2;15;0;9;
0;26;0;0;
14;6;2;4;
4;0;15;7;
13;1;4;8;
10;0;13;3;
13;4;4;5;
0;0;17;9;
0;21;0;5;
9;0;17;0;
1;4;18;3;
18;0;4;4;
3;17;0;6;
0;26;0;0;
13;5;4;4;
5;8;13;0;
13;7;4;2;
8;0;2;16;
14;5;7;0;
0;8;0;18;
8;0;18;0;
4;0;5;17;
13;8;1;4;
17;0;9;0;
0;3;17;6;
8;1;17;0;
4;7;0;15;
3;0;19;4;
0;14;9;3;
7;0;6;13;
17;9;0;0;
20;0;0;6;
0;4;13;9;
5;2;16;3;
17;4;5;0;
17;9;0;0;
1;2;5;18;
13;9;0;4;
7;1;14;4;
6;14;6;0;
0;15;1;10;
8;3;14;1;
8;0;13;5;
13;3;6;4;
22;0;0;4;
6;2;14;4;
0;3;13;10;
10;3;13;0;
0;4;0;22;
4;4;15;3;
0;3;23;0;
4;14;5;3;
10;0;13;3;
5;8;13;0;
16;8;0;2;
0;10;16;0;
5;3;0;18;
17;8;1;0;
5;0;17;4;
0;5;5;16;
3;5;18;0;
4;13;2;7;
21;1;4;0;
8;13;5;0;
1;0;4;21;
9;0;17;0;
15;0;0;11;
3;4;5;14;
4;0;17;5;
3;16;4;3;
0;6;4;16;
0;16;4;6;
5;1;3;17;
2;3;17;4;
7;3;13;3;
15;7;4;0;
